Date,Quarter,Wohnung
2020-03-31,1st quarter 2020,3435.00
2020-06-30,2nd quarter 2020,3500.00
2020-09-30,3rd quarter 2020,3535.00
2020-12-30,4th quarter 2020,3553.00
2021-03-30,1st quarter 2021,3630.00
2021-06-30,2nd quarter 2021,3780.00
2021-09-30,3rd quarter 2021,3872.00
2021-12-30,4th quarter 2021,3984.00
2022-03-30,1st quarter 2022,4128.00
2022-06-30,2nd quarter 2022,4266.00
2022-09-30,3rd quarter 2022,4357.00
2022-12-30,4th quarter 2022,4353.00
2023-03-30,1st quarter 2023,4303.00
2023-06-30,2nd quarter 2023,4270.00
2023-09-30,3rd quarter 2023,4244.00
2023-12-30,4th quarter 2023,4181.00
2024-03-30,1st quarter 2024,4142.00
